"folioviv","foliohog","ubica_geo","tam_loc","clase_hog","sexo_jefe","edad_jefe","educa_jefe","tot_integ","mayores","p12_64","ocupados","percep_ing","perc_ocupa","ing_cor","ingtrab","trabajo","sueldos"
102239501,1,1001,3,2,2,38,3,8,3,3,1,2,1,74580.35,13734.78,13734.78,13734.78
102239502,1,1001,3,3,1,48,10,8,7,7,1,1,1,40159.16,32282.6,32282.6,32282.6
102239503,1,1001,3,2,1,38,6,6,4,4,1,1,1,82150.84,77293.36,0,0
102239504,1,1001,3,3,2,40,3,5,4,4,3,3,3,62348.07,49304.31,49304.31,48130.41
102239505,1,1001,3,2,1,34,6,3,2,2,2,3,2,47692.65,47203.52,32967.38,31499.99
102240301,1,1001,3,2,1,73,10,2,2,0,1,1,1,169901.8,132065.21,132065.21,132065.21
102240303,1,1001,3,2,2,50,8,3,3,3,2,3,2,104311,46692.36,45224.97,44021.73
102240304,1,1001,3,3,1,57,10,4,4,3,1,2,1,150632.95,46760.86,46760.86,43141.3
102240305,1,1001,3,2,2,38,7,4,2,2,1,4,1,166463.67,49744.56,49744.56,46956.52
102254201,1,1002,3,2,1,30,8,3,2,2,2,1,1,12595.02,0,0,0
102254203,1,1002,3,2,1,80,4,2,2,0,0,2,0,16577.33,0,0,0
102254204,1,1002,3,2,1,46,1,4,3,3,1,1,1,12054.22,7160.22,7160.22,7160.22
102254205,1,1002,3,2,1,53,4,4,4,4,2,4,2,39275.79,29461.3,25040.86,24792.25
102254206,1,1002,3,2,1,47,10,4,4,4,2,2,2,93234.71,77569.02,77569.02,68121.52
102254313,1,1002,3,2,1,45,6,5,4,4,4,5,4,59139.9,52827.44,52827.44,49402.15
102254314,1,1002,3,2,1,50,6,6,4,4,4,3,3,24717.71,11871.18,11871.18,11871.18
102254315,1,1002,3,1,1,53,3,1,1,1,0,1,0,14241.15,0,0,0
102254316,1,1002,3,2,1,35,4,3,3,3,1,2,1,31239.63,26657.6,26168.47,25434.78
102254317,1,1002,3,2,1,30,6,4,2,2,1,1,1,32023.93,27688.95,27688.95,19076.08
102254318,1,1002,3,1,2,47,6,1,1,1,1,1,1,37437.21,0,0,0
102254507,1,1002,3,1,1,76,3,1,1,0,1,1,1,5465.26,390.32,0,0
102254508,1,1002,3,2,1,66,1,2,2,1,2,2,2,24267.73,10592.6,0,0
102254509,1,1002,3,2,1,36,8,6,3,3,1,1,1,36027.76,29201.07,29201.07,23478.26
102254510,1,1002,3,2,1,36,4,4,2,2,1,1,1,19931.27,17608.69,17608.69,17608.69
102254511,1,1002,3,3,1,59,3,5,4,4,2,3,2,60283.07,55271.72,38543.46,38249.99
102254512,1,1002,3,2,1,51,4,2,2,2,2,2,2,19418.66,11470.09,11470.09,11298.9
102254919,1,1002,3,2,1,39,8,4,2,2,1,1,1,55438.28,49548.9,49548.9,35217.39
102254920,1,1002,3,2,2,42,7,2,2,2,1,2,1,14055.39,2934.78,2934.78,2934.78
102254921,1,1002,3,1,1,90,3,1,1,0,0,1,0,12647.24,0,0,0
102254922,1,1002,3,3,1,39,3,5,4,4,3,3,3,47478.76,46027.15,46027.15,39913.03
102254923,1,1002,3,2,2,63,4,2,2,1,1,1,1,19509.18,16605.96,16605.96,14380.43
102285902,1,1005,3,2,1,47,7,4,3,3,1,1,1,181577.82,76304.34,76304.34,76304.34
102285903,1,1005,3,2,2,25,8,4,2,2,1,1,1,12472.81,12472.81,12472.81,11739.13
102285905,1,1005,3,2,1,40,4,3,3,3,2,3,2,29212.12,25434.78,25434.78,24945.65
