"folioviv","foliohog","ubica_geo","tam_loc","clase_hog","sexo_jefe","edad_jefe","educa_jefe","tot_integ","mayores","p12_64","ocupados","percep_ing","perc_ocupa","ing_cor","ingtrab","trabajo","sueldos"
100013601,1,1001,1,2,1,74,4,3,3,1,2,3,2,76403.7,53114.74,53114.74,53114.74
100013602,1,1001,1,2,1,48,11,5,5,5,2,5,2,42987.73,15235.06,0,0
100013603,1,1001,1,2,1,39,10,2,2,2,2,2,2,580697.74,141885.21,141885.21,133770.48
100013604,1,1001,1,2,2,70,8,2,2,1,0,2,0,46252.71,0,0,0
100013606,1,1001,1,2,2,51,4,4,3,3,2,2,2,53837.09,43229.49,8852.45,8852.45
100026701,1,1001,1,2,2,41,11,4,4,4,2,2,2,237742.54,129836.03,129836.03,95901.63
100026703,1,1001,1,1,2,57,9,1,1,1,1,1,1,32606.55,23606.55,23606.55,23606.55
100026704,1,1001,1,2,1,53,11,2,2,2,2,2,2,169918.01,154918.01,154918.01,132786.87
100026706,1,1001,1,2,1,30,6,3,2,2,2,2,2,17311.46,17311.46,17311.46,17311.46
100027201,1,1001,1,3,1,69,4,4,3,2,2,4,2,120488.31,44761.31,43508.28,41767.95
100027202,1,1001,1,2,2,76,3,2,2,1,1,2,1,52304.57,44462.91,44462.91,40574.58
100027204,1,1001,1,1,1,77,4,1,1,0,1,1,1,12934.37,1553.86,0,0
100027205,1,1001,1,2,1,70,6,2,2,0,1,2,1,73196.15,50345.3,0,0
100045501,1,1001,1,2,1,29,6,4,2,2,1,1,1,28800.64,26993.68,26993.68,26413.04
100045502,1,1001,1,2,1,68,9,4,4,2,2,4,2,109556.48,34239.11,34239.11,24945.64
100045503,1,1001,1,2,1,88,7,2,2,0,0,2,0,41048.21,0,0,0
100045505,1,1001,1,3,1,51,6,5,5,5,4,4,4,56101.17,51746.34,46855.04,33352.32
100045506,1,1001,1,1,1,51,8,1,1,1,1,1,1,61800.87,60291.56,60291.56,51065.21
100054301,1,1001,1,3,1,58,6,4,3,3,2,2,2,42480.96,42480.96,42480.96,35217.38
100054302,1,1001,1,2,1,59,10,3,3,2,2,3,2,49144.17,39790.74,39790.74,38739.12
100054303,1,1001,1,3,2,47,6,9,7,6,4,5,4,52782.15,33456.5,21570.64,21570.64
100054305,1,1001,1,1,2,65,4,1,1,0,0,1,0,28634.63,0,0,0
100054306,1,1001,1,2,1,44,10,3,2,2,2,2,2,50869.54,50869.54,50869.54,46956.51
100058901,1,1001,1,2,2,66,3,2,2,1,2,2,2,28760.84,21423.89,21423.89,21130.42
100058902,1,1001,1,2,1,66,7,2,2,0,1,1,1,29152.14,8804.34,8804.34,0
100058903,1,1001,1,2,1,70,4,4,4,3,2,1,1,60344.49,0,0,0
100058906,1,1001,1,1,1,71,4,1,1,0,0,1,0,12644.48,0,0,0
100062801,1,1001,1,2,1,34,6,6,3,3,2,5,2,28155.72,26508.19,26508.19,26508.19
100062802,1,1001,1,2,2,50,10,4,4,4,3,3,3,70401.62,62901.62,62901.62,58426.22
100062803,1,1001,1,1,2,60,4,1,1,1,0,1,0,3826.22,0,0,0
100062804,1,1001,1,2,1,27,8,2,2,2,2,2,2,35581.94,35581.94,35581.94,33983.59
100062805,1,1001,1,1,2,52,11,1,1,1,1,1,1,55204.91,47704.91,47704.91,41311.47
100062806,1,1001,1,1,2,56,8,1,1,1,0,1,0,10001.8,0,0,0
100067401,1,1001,1,2,1,88,3,3,3,1,1,3,1,50322.05,9910.26,0,0
100067402,1,1001,1,2,1,66,11,3,3,2,3,3,3,203294.63,103543.98,103543.98,81176.07
100067403,1,1001,1,1,2,57,6,1,1,1,1,1,1,19858.04,6793.53,0,0
100067404,1,1001,1,1,2,73,4,1,1,0,0,1,0,28912.12,0,0,0
100067405,1,1001,1,2,1,71,1,3,3,1,1,3,1,71437.18,0,0,0
100067406,1,1001,1,2,2,57,10,2,2,2,1,2,1,77493.53,76206.48,53951.05,36391.3
100068901,1,1001,1,3,2,73,1,5,3,2,1,2,1,24962.31,15260.86,15260.86,15260.86
100068902,1,1001,1,2,2,31,6,4,4,4,2,2,2,40441.11,34385.82,34385.82,27293.47
100068904,1,1001,1,3,1,72,3,9,8,6,4,6,4,36571.61,22930.41,6456.51,6456.51
100068906,1,1001,1,2,1,75,4,2,2,0,0,2,0,16535.74,0,0,0
100069801,1,1001,1,2,1,25,6,3,2,2,2,2,2,49774.59,33966.68,33966.68,27147.53
100069802,1,1001,1,2,2,68,4,2,2,1,1,2,1,50654.65,25635.23,25635.23,25377.04
100069803,1,1001,1,2,1,26,8,3,2,2,2,2,2,95097.12,74311.44,62704.9,59016.38
100069804,1,1001,1,3,1,82,3,4,4,2,2,3,2,60954.08,50360.64,50360.64,27737.7
100069805,1,1001,1,1,1,57,6,1,1,1,1,1,1,40911.7,0,0,0
100069806,1,1001,1,2,2,77,3,2,2,1,1,2,1,32532.77,24836.05,24836.05,23606.55
100073401,1,1001,1,2,1,74,3,2,2,1,0,1,0,20569.5,0,0,0
100073402,1,1001,1,3,1,82,3,2,2,0,0,2,0,43958.61,0,0,0
100073403,1,1001,1,3,2,80,4,6,6,5,4,5,4,66280.36,58933.15,56585.33,52239.1
100073404,1,1001,1,3,1,27,6,7,3,2,2,4,2,44766.84,36088.99,34132.47,30815.21
100073405,1,1001,1,3,2,35,9,4,4,4,4,4,4,58307.46,49597.79,49597.79,43434.77
100074001,1,1001,1,2,1,47,6,5,5,5,1,1,1,28279.6,24505.41,24505.41,22499.99
100074002,1,1001,1,2,1,36,9,5,3,3,2,3,2,76531.95,70489.5,56861.36,32282.6
100074003,1,1001,1,3,1,38,5,3,2,2,2,2,2,56545.01,50722.79,50722.79,43434.77
100074004,1,1001,1,3,2,80,1,3,3,2,1,2,1,14330.35,1036.95,0,0
100074005,1,1001,1,3,1,24,5,5,3,3,2,4,2,45768.46,38739.12,38739.12,38739.12
100074006,1,1001,1,2,1,83,4,2,2,0,0,2,0,52917.71,0,0,0
100076401,1,1001,1,3,2,48,6,3,3,2,1,2,1,26113.24,20054.33,20054.33,17608.69
100076402,1,1001,1,3,2,57,6,5,3,3,2,5,2,74468.57,11636.38,855.96,855.96
100076403,1,1001,1,3,1,50,7,3,3,2,1,2,1,10251.69,7149.93,3677.11,0
100076404,1,1001,1,3,1,55,6,7,4,4,3,3,3,55638.16,16043.47,16043.47,15554.34
100076405,1,1001,1,2,1,50,8,4,4,4,2,4,2,30612.55,25239.12,11739.13,11739.13
100076406,1,1001,1,2,1,48,8,2,2,2,2,2,2,30556.43,24749.98,22989.12,22499.99
100080001,1,1001,1,2,1,68,4,2,2,0,1,2,1,72622.11,18220.09,17975.53,17608.69
100080002,1,1001,1,2,2,59,6,2,2,2,2,2,2,38157.04,37090.74,37090.74,35598.9
100080003,1,1001,1,3,1,37,4,10,8,7,3,7,3,63666.73,56426.05,56426.05,54508.68
100080003,2,1001,1,2,1,50,3,2,2,2,1,1,1,15867.37,15578.79,15578.79,15260.86
100080004,1,1001,1,3,1,49,8,7,4,4,4,4,4,103417.29,90933.44,85063.88,71488.35
100080005,1,1001,1,3,1,35,7,9,7,6,5,6,5,197969.95,189684.72,189684.72,151483.66
100080006,1,1001,1,3,1,78,3,3,2,1,2,3,2,57032.9,19765.72,19765.72,13499.99
100082601,1,1001,1,3,1,44,10,9,5,5,3,5,3,91180.29,85278.67,85278.67,76819.66
100082602,1,1001,1,2,1,60,8,3,3,3,2,3,2,72776.45,52819.65,52819.65,51344.25
100082603,1,1001,1,3,2,69,3,4,4,3,2,2,2,26724.86,23286.87,23286.87,22918.02
100082604,1,1001,1,2,1,44,9,4,4,4,2,2,2,44161.45,27784.41,26557.37,26557.37
100082605,1,1001,1,3,2,25,10,3,3,3,1,2,1,65567.2,44262.29,44262.29,44262.29
100082606,1,1001,1,1,2,47,11,1,1,1,1,1,1,224262.27,209016.37,209016.37,88524.58
100084701,1,1001,1,2,2,87,3,2,2,1,1,2,1,36983.58,32508.18,32508.18,31278.68
100084702,1,1001,1,3,2,60,4,5,5,5,2,3,2,71869.8,24111.12,12983.59,7081.96
100084703,1,1001,1,3,2,51,4,15,8,8,5,12,5,82734.41,74389.67,58406.07,53704.88
100084704,1,1001,1,2,1,71,6,2,2,0,2,2,2,38691.53,31148.83,22426.21,20655.73
100084705,1,1001,1,3,2,60,8,7,5,5,4,5,4,144255.65,104296.66,101640.93,85967.19
100084706,1,1001,1,1,1,52,4,1,1,1,1,1,1,31942.62,27442.62,27442.62,27442.62
100095601,1,1001,1,1,2,62,4,1,1,1,1,1,1,15898.1,7672.13,7672.13,7672.13
100095603,1,1001,1,3,2,37,8,6,4,4,3,3,3,62966.91,56966.91,56770.19,50950.8
100095604,1,1001,1,2,1,40,6,4,4,4,2,3,2,51130.77,39491.76,39245.86,34032.77
100095605,1,1001,1,2,1,49,6,3,3,3,2,3,2,63220.31,56876.05,0,0
100095606,1,1001,1,2,2,34,6,4,3,3,1,4,1,47105.88,14671.51,14671.51,7032.78
100102202,1,1001,1,2,2,74,3,2,2,1,1,2,1,29473.86,0,0,0
100102203,1,1001,1,3,2,71,1,6,5,4,3,4,3,27926.77,19864.62,19864.62,17999.99
100102204,1,1001,1,2,1,44,10,4,2,2,2,2,2,86865.14,76703.85,58176.78,53701.65
100102205,1,1001,1,3,2,63,3,4,3,3,1,4,1,28590.04,4176.79,4176.79,0
100102206,1,1001,1,2,1,46,3,4,3,3,3,3,3,22996.92,18127.81,12160.96,8303.86
100102206,2,1001,1,1,2,36,4,1,1,1,1,1,1,22828.03,22828.03,22828.03,12928.17
100104701,1,1001,1,3,2,79,4,4,3,2,2,2,2,40406.54,32709.82,17704.91,17704.91
100104702,1,1001,1,2,1,31,10,3,2,2,2,2,2,49261.78,45661.79,45661.79,33934.41
100104703,1,1001,1,2,1,45,8,4,3,3,2,2,2,41945.19,40918.02,40918.02,38950.81
100104705,1,1001,1,3,1,52,6,10,7,7,4,4,3,103745.85,103745.85,89213.08,84983.59
100104705,2,1001,1,2,1,26,3,4,2,2,2,2,2,12196.72,12196.72,12196.72,12196.72
100104706,1,1001,1,2,1,75,4,2,2,1,0,2,0,49836.87,0,0,0
100113501,1,1001,1,2,1,28,9,2,1,1,1,1,1,24272.02,20543.47,20543.47,20543.47
100113502,1,1001,1,1,1,33,10,1,1,1,1,1,1,26903.07,25451.46,25451.46,5869.56
100113503,1,1001,1,1,1,57,6,1,1,1,0,1,0,21423.49,0,0,0
100113505,1,1001,1,3,1,26,6,5,3,3,3,5,3,32267.87,31206.48,31206.48,29934.76
100113506,1,1001,1,3,1,40,9,2,2,2,2,2,2,77212.83,50517.96,23738.07,14673.91
100154201,1,1001,1,1,2,64,8,1,1,1,1,1,1,16469.68,795.58,0,0
100154203,1,1001,1,2,2,65,4,4,4,3,3,3,3,59528.8,26273.38,16328.63,9447.51
100154204,1,1001,1,2,1,68,4,2,2,1,2,2,2,36712.26,8950.27,8950.27,0
100154205,1,1001,1,3,2,76,6,4,3,2,2,3,2,61359.07,52259.63,52259.63,37292.81
100154206,1,1001,1,1,2,66,4,1,1,0,0,1,0,11539.11,0,0,0
100170501,1,1001,1,2,1,26,10,2,2,2,2,2,2,73618.01,57839.65,56739.12,53804.34
100170502,1,1001,1,1,1,32,11,1,1,1,1,1,1,111906.51,42908.94,24835.58,22206.52
100170503,1,1001,1,3,1,75,4,2,2,1,1,2,1,25331.4,7381.95,0,0
100170504,1,1001,1,1,2,75,3,1,1,0,0,1,0,11282.08,0,0,0
100170505,1,1001,1,2,2,39,11,2,2,2,2,2,2,111627.91,69456.51,69456.51,69456.51
100170506,1,1001,1,2,1,29,3,4,2,2,2,2,2,14815,14815,13103.05,8217.38
100175303,1,1001,1,3,1,59,4,6,5,5,3,3,3,114342.02,114342.02,114342.02,94679.01
100175305,1,1001,1,3,2,51,4,11,6,6,5,6,5,75628.36,70581.49,65567.91,61239.12
100175306,1,1001,1,3,1,80,3,3,2,1,1,3,1,66979.52,49891.3,49891.3,49891.3
100186301,1,1001,1,3,1,49,9,10,7,6,3,4,3,86625.64,69566.53,53454.58,28173.9
100186303,1,1001,1,2,1,80,3,4,4,2,2,4,2,125839.02,116628.23,66766.28,55760.86
100186304,1,1001,1,2,1,83,4,2,2,0,1,2,1,38032.68,3839.67,0,0
100188902,1,1001,1,3,2,77,6,3,2,1,1,3,1,72302.06,21619.56,21619.56,19956.52
100188903,1,1001,1,2,1,48,6,4,3,3,2,2,2,58929.01,51857.6,0,0
100188904,1,1001,1,2,2,81,6,2,2,1,0,1,0,17843.36,0,0,0
100188906,1,1001,1,3,2,65,4,3,3,2,1,2,1,24798.9,12472.82,12472.82,12472.82
100192801,1,1001,1,4,1,68,3,3,3,2,3,3,3,23016.38,18245.89,18245.89,18245.89
100192802,1,1001,1,2,1,28,10,4,2,2,2,2,2,64897.51,54050.37,54050.37,40868.84
100192803,1,1001,1,2,2,77,4,4,4,3,1,3,1,26283.69,9688.52,9688.52,9442.62
100192805,1,1001,1,3,1,79,3,5,5,3,2,4,2,85102.94,58708.99,43954.9,41606.55
100192806,1,1001,1,1,1,39,7,1,1,1,1,1,1,23954.32,14954.32,11708.42,11065.57
100206401,1,1001,1,1,1,29,10,1,1,1,1,1,1,39180.73,38152.16,20543.47,20543.47
100206405,1,1001,1,2,1,36,9,3,2,2,1,1,1,36279.48,28565.21,0,0
100211002,1,1001,1,1,1,36,10,1,1,1,1,1,1,3423.91,3423.91,0,0
100211003,1,1001,1,1,1,52,9,1,1,1,1,1,1,71938.45,61777.16,61777.16,58108.69
100211004,1,1001,1,2,2,70,6,2,2,1,1,2,1,74796.85,21374.99,0,0
100211005,1,1001,1,2,2,49,10,4,4,4,2,3,2,170053.85,91193.42,91193.42,88043.47
100215601,1,1001,1,2,2,56,6,2,2,2,2,2,2,20969.48,14969.48,8852.45,8852.45
100215603,1,1001,1,1,1,23,9,1,1,1,1,1,1,37394.64,26213.16,26213.16,22131.14
100215603,2,1001,1,1,1,26,9,1,1,1,1,1,1,25724.81,25081.96,25081.96,25081.96
100215604,1,1001,1,2,2,70,4,4,4,2,2,4,2,95783.68,71729.42,71729.42,63934.41
100215605,1,1001,1,2,1,85,9,2,2,1,1,2,1,45645.23,14778.68,14778.68,14163.93
100215606,1,1001,1,2,1,44,10,3,3,3,2,2,2,93846.54,84846.54,84846.54,72590.15
100217901,1,1001,1,2,1,39,7,4,3,3,2,2,2,59137.42,54782.59,54782.59,52826.08
